provider,url,title,visible_shapes,status
Tampa Electric,https://www.tampaelectric.com/outages/outagemap/,Outage Map,0,OK
CenterPoint Energy,https://tracker.centerpointenergy.com/map/texas,ERROR: The request could not be satisfied,0,OK
CPS Energy,https://outagemap.cpsenergy.com/,CPS Energy Outage Map,0,OK
Austin Energy,https://outagemap.austinenergy.com/,Austin Energy Outage Map,0,OK
Oncor Electric Delivery,https://stormcenter.oncor.com/,Oncor – Outage Map,0,OK
Grayson-Collin Electric Coop,https://graysoncollin.outagemap.coop/,Loading Map,0,OK
Eversource,https://outagemap.eversource.com/,Outage Map | Eversource,0,OK
National Grid,https://outagemap.ma.nationalgridus.com/,Massachusetts Power Outage Map,0,OK
NYSEG,https://outagemap.nyseg.com/,NYSEG - Outage Map,0,OK
RG&E,https://outagemap.rge.com/,RG&E - Outage Map,0,OK
PSEG Long Island,https://outagemap.psegliny.com/,PSEG Long Island Outage Map,0,OK
PSEG,https://outagecenter.pseg.com/external/default.html,PSE&G Outage Map,0,OK
Con Edison,https://apps.coned.com/stormcenter/external/default.html,Con Edison Outage Map,0,OK
Jersey Central Power and Light,https://outages-nj.firstenergycorp.com/,FirstEnergy Storm Center NJ,0,OK
Atlantic City Electric,https://www.atlanticcityelectric.com/,,0,OK
Puget Sound Energy,https://www.pse.com/en/outage/outage-map,PSE | Outage Map and Restoration Times,0,OK
Seattle City Light,https://www.seattle.gov/city-light/outages,View and Report Outages - City Light | seattle.gov,0,OK
Tacoma Power,https://www.mytpu.org/outages/,Outages & Safety - Tacoma Public Utilities,0,OK
Xcel Energy,https://www.outagemap-xcelenergy.com/outagemap/,Electric Outage Map │Xcel Energy,0,OK
Cleco Power,https://myaccount.cleco.com/Portal/#/PreOutages,Cleco,0,OK
Entergy Louisiana,https://www.etrviewoutage.com/map?state=LA,,0,OK
ComEd,https://www.comed.com/outages/experiencing-an-outage/outage-map,,0,OK
Met-Ed,https://outages.firstenergycorp.com/,Outages,0,OK
PECO,https://www.peco.com/outages/experiencing-an-outage/outage-map,View Outage Map | PECO - An Exelon Company,0,OK
PPL Electric Utilities,https://omap.prod.pplweb.com/OMAP,PPL Outage Map,0,OK
We Energies,https://www.we-energies.com/outagesummary/view/outagegrid,Outage Map | We Energies,0,OK
Madison Gas and Electric,https://mge.smartcmobile.com/Outage/,Outages,0,OK
